source_ref	old_tip	filtered_tip
main	1aa158681743ec858a7db833fbca12be68a39c79	ad7d253b3a1a7f6e5522690a42f9c39e5b50a03f
codex/003-backend-implementation	3e52bc35281b4857d34668305055086b6c558b56	76922722f8dda4bf0438e3e97348bfca15417aca
codex/004-llm-review-integration	d6f4ab40329b9705c7166931d0b3341db7c4678a	62aacc4b5b280ae53b84619e695d9a3eb3ea6b91
codex/005-web-review-ui	0ba82ebbc46ea6cb8c0e430784b01d30a527b5bb	06682f248c202ed94892910365ed155831d057de
review-platform-contract-v1.0.0	1c5d6fd492d01d359e54868da172b2d189c27614	8812c90db84839721d9a7d16f3b74fd6115ee92b
review-platform-contract-v1.0.1	2bdc563efd0b56fa1d87a2f31f29030edfb3415c	9e7f20ef3ee1c9fbe9a468fdfc24d32bd505abdc
review-platform-contract-v1.0.2	482c3b13a67b8e8f31eef1923b4daf72235b1580	6b67d6e4701523b36c3149414d7ed84cba106f9c
